Date,Open,Close,High,Low,Volume
1997-05-15,1.96,1.96,2.50,1.93,6006000
1997-05-16,1.97,1.73,1.98,1.71,1223800
1997-05-19,1.76,1.71,1.77,1.62,508900
1997-05-20,1.73,1.64,1.75,1.64,455600
1997-05-21,1.63,1.43,1.65,1.37,1571100
1997-05-22,1.44,1.40,1.45,1.31,981400
1997-05-23,1.41,1.50,1.52,1.33,1328100
1997-05-27,1.51,1.58,1.65,1.46,724800
1997-05-28,1.64,1.53,1.64,1.53,381200
1997-05-29,1.54,1.51,1.54,1.48,289400
1997-05-30,1.51,1.50,1.51,1.48,216200
1997-06-02,1.51,1.51,1.53,1.50,49300
1997-06-03,1.53,1.48,1.53,1.48,98600
1997-06-04,1.48,1.42,1.49,1.40,256700
1997-06-05,1.42,1.54,1.54,1.37,472700
1997-06-09,1.66,1.69,1.71,1.66,196000
1997-06-10,1.71,1.58,1.71,1.53,454900
1997-06-11,1.71,1.54,1.71,1.53,99000
1997-06-12,1.58,1.60,1.65,1.55,136000
1997-06-13,1.62,1.58,1.62,1.58,57800
1997-06-16,1.59,1.57,1.60,1.56,76100
1997-06-17,1.60,1.51,1.60,1.49,392200
1997-06-18,1.52,1.51,1.54,1.50,205400
1997-06-19,1.51,1.53,1.53,1.50,82900
1997-06-20,1.53,1.53,1.55,1.50,282300
1997-06-23,1.54,1.50,1.54,1.48,87300
1997-06-24,1.50,1.51,1.53,1.48,62600
1997-06-25,1.52,1.51,1.53,1.49,175500
1997-06-26,1.52,1.51,1.52,1.51,265800
1997-06-27,1.51,1.49,1.52,1.48,99000
1997-06-30,1.51,1.54,1.60,1.48,228900
1997-07-01,1.54,1.52,1.54,1.51,107700
1997-07-02,1.52,1.59,1.59,1.51,323500
1997-07-03,1.60,1.91,1.92,1.59,1048101
1997-07-07,1.90,2.00,2.02,1.83,671100
1997-07-08,2.04,2.30,2.33,2.04,1293101
1997-07-09,2.30,2.32,2.39,2.27,688500
1997-07-10,2.33,2.56,2.57,2.33,754300
1997-07-11,2.54,2.29,2.54,2.21,847300
1997-07-14,2.33,2.14,2.33,2.11,383700
1997-07-15,2.33,2.14,2.33,2.11,383700
1997-07-16,2.45,2.32,2.49,2.30,240500
1997-07-17,2.34,2.22,2.34,2.16,264100
1997-07-18,2.19,2.16,2.22,2.16,65000
1997-07-21,2.18,2.18,2.20,2.15,47900
1997-07-22,2.17,2.14,2.19,2.06,130300
1997-07-23,2.18,2.29,2.33,2.18,271600
1997-07-24,2.29,2.26,2.31,2.22,101400
1997-07-25,2.22,2.23,2.25,2.22,51700
1997-07-28,2.23,2.35,2.40,2.22,169300
1997-07-29,2.36,2.48,2.50,2.33,401200
1997-07-30,2.50,2.45,2.51,2.43,209800
1997-07-31,2.44,2.40,2.44,2.33,121200
1997-08-01,2.34,2.42,2.42,2.25,299000
1997-08-04,2.41,2.31,2.41,2.30,222600
1997-08-05,2.33,2.21,2.33,2.15,252700
1997-08-06,2.21,2.25,2.31,2.19,103600
1997-08-07,2.24,2.18,2.26,2.12,169400
1997-08-08,2.17,2.29,2.30,2.10,184300
1997-08-11,2.29,2.33,2.33,2.25,103300
1997-08-12,2.28,2.20,2.30,2.20,47600
1997-08-13,2.23,2.20,2.23,2.17,49200
1997-08-14,2.18,2.16,2.25,2.12,86800
1997-08-15,2.14,2.11,2.16,1.94,133100
1997-08-18,2.14,2.04,2.16,1.94,148700
1997-08-19,2.09,2.17,2.21,2.05,83600
1997-08-20,2.19,2.17,2.19,2.07,82900
1997-08-21,2.14,2.11,2.17,2.07,61900
1997-08-22,2.12,2.12,2.12,2.09,59400
1997-08-25,2.10,2.22,2.26,2.10,93900
1997-08-26,2.24,2.34,2.35,2.23,217500
1997-08-27,2.31,2.32,2.32,2.25,116000
1997-08-28,2.30,2.37,2.40,2.28,95600
1997-08-29,2.36,2.34,2.37,2.32,60200
1997-09-02,2.34,2.35,2.37,2.33,61000
1997-09-03,2.34,2.33,2.42,2.31,163700
1997-09-04,2.34,2.55,2.55,2.34,279000
1997-09-05,2.57,2.50,2.67,2.46,159000
1997-09-08,2.57,3.00,3.02,2.46,470700
1997-09-09,3.10,3.24,3.39,3.03,747600
1997-09-10,3.24,3.30,3.33,3.12,322200
1997-09-11,3.32,3.16,3.33,3.04,355200
1997-09-12,3.19,3.69,3.70,3.16,277800
1997-09-15,3.67,3.09,3.68,3.05,464900
1997-09-16,3.50,3.35,3.54,3.12,536000
1997-09-17,3.42,3.41,3.50,3.33,217300
1997-09-18,3.44,3.29,3.47,3.28,177400
1997-09-19,3.41,3.95,4.08,3.37,744100
1997-09-22,4.00,4.50,4.68,3.95,1411801
1997-09-23,4.49,4.62,4.65,4.40,640300
1997-09-24,4.67,4.37,4.81,4.29,683400
1997-09-25,4.35,4.08,4.35,4.05,414000
1997-09-26,4.07,4.17,4.26,4.05,227600
1997-09-29,4.15,4.04,4.19,3.96,197600
1997-09-30,4.00,4.34,4.35,3.80,437900
1997-10-01,4.37,4.02,4.50,3.94,416600
1997-10-02,4.04,4.01,4.18,3.99,156400
1997-10-03,4.02,4.02,4.12,3.98,97000
1997-10-06,4.02,4.12,4.12,3.94,169000
1997-10-07,4.08,4.06,4.19,4.04,145200
1997-10-08,4.12,4.01,4.17,3.98,233900
1997-10-09,4.00,3.75,4.02,3.74,329200
1997-10-10,3.72,3.90,4.06,3.67,315600
1997-10-13,3.98,4.00,4.04,3.93,67900
1997-10-14,4.06,3.98,4.10,3.83,128900
1997-10-15,3.97,3.92,3.97,3.77,196300
1997-10-16,3.97,3.62,3.98,3.60,290100
1997-10-17,3.60,3.62,3.66,3.52,211200
1997-10-20,3.68,3.82,3.87,3.67,409400
1997-10-21,3.89,4.43,4.44,3.85,1008001
1997-10-22,4.42,4.52,4.62,4.37,434000
1997-10-23,4.33,4.50,4.56,4.19,471400
1997-10-24,4.75,5.03,5.06,4.54,791000
1997-10-27,4.85,4.27,5.01,4.23,507600
1997-10-28,3.92,4.90,5.00,3.87,849100
1997-10-29,5.04,5.39,5.50,5.00,593900
1997-10-30,5.17,5.12,5.35,5.04,397500
1997-10-31,5.42,5.08,5.46,4.97,418900
1997-11-03,5.22,5.07,5.22,4.95,166600
1997-11-04,5.05,4.96,5.05,4.82,197100
1997-11-05,4.98,4.87,5.12,4.87,257800
1997-11-06,4.92,4.66,4.92,4.64,242800
1997-11-07,4.54,4.48,4.64,4.39,218900
1997-11-10,4.50,4.21,4.56,4.21,230400
1997-11-11,4.21,3.95,4.31,3.92,359400
1997-11-12,3.87,3.77,4.19,3.67,723600
1997-11-13,3.91,3.86,3.97,3.77,357500
1997-11-14,3.85,4.17,4.21,3.78,489100
1997-11-17,4.22,4.37,4.54,4.22,616200
1997-11-18,4.40,4.42,4.48,4.34,155500
1997-11-19,4.34,4.51,4.52,4.31,211200
1997-11-20,4.51,4.58,4.59,4.51,493600
1997-11-21,4.55,4.49,4.58,4.49,216900
1997-11-24,4.37,4.23,4.42,4.23,168300
1997-11-25,4.25,4.20,4.33,4.04,275400
1997-11-26,4.24,4.26,4.41,4.24,135900
1997-11-28,4.27,4.12,4.33,4.11,133600
1997-12-01,4.15,4.27,4.37,4.14,198600
1997-12-02,4.30,4.23,4.30,4.18,105200
1997-12-03,4.20,4.36,4.37,4.19,107500
1997-12-04,4.40,4.50,4.55,4.39,253200
1997-12-05,4.44,4.59,4.59,4.35,221800
1997-12-08,4.54,4.71,4.77,4.52,397200
1997-12-09,4.67,4.69,4.77,4.60,111000
1997-12-10,4.61,4.51,4.62,4.40,120400
1997-12-11,4.42,4.69,4.83,4.40,417900
1997-12-12,4.65,4.54,4.80,4.41,222700
1997-12-15,4.58,4.58,4.67,4.41,141200
1997-12-16,4.65,4.46,4.65,4.46,140600
1997-12-17,4.42,4.39,4.46,4.26,511700
1997-12-18,4.42,4.39,4.46,4.26,511700
1997-12-19,4.24,4.29,4.29,4.17,177800
1997-12-22,4.50,4.70,4.78,4.43,362700
1997-12-23,4.74,4.62,4.74,4.62,98100
1997-12-24,4.62,4.60,4.71,4.47,194700
1997-12-26,4.56,4.52,4.65,4.49,40600
1997-12-29,4.58,4.75,4.78,4.53,212700
1997-12-30,4.81,4.85,4.91,4.78,523800
1997-12-31,4.86,5.02,5.04,4.84,370500
1998-01-02,5.00,4.96,5.00,4.80,138400
1998-01-05,4.88,4.75,4.94,4.71,299200
1998-01-06,4.71,4.84,4.87,4.67,347900
1998-01-07,4.83,4.78,4.83,4.69,227100
1998-01-08,4.70,4.61,4.70,4.53,502300
1998-01-09,4.67,4.26,4.67,4.23,553600
1998-01-12,4.17,4.30,4.39,4.15,616800
1998-01-13,4.32,4.65,4.67,4.32,610100
1998-01-14,4.66,4.87,4.87,4.62,708800
1998-01-15,4.79,4.95,5.01,4.79,501200
1998-01-16,4.96,4.79,4.98,4.77,213600
1998-01-20,4.82,4.95,5.01,4.81,455600
1998-01-21,4.92,5.07,5.17,4.87,728200
1998-01-22,5.06,5.14,5.27,5.02,789300
1998-01-23,5.27,4.94,5.34,4.94,759900
1998-01-26,4.98,4.81,4.99,4.74,392700
1998-01-27,4.86,4.75,4.86,4.67,342000
1998-01-28,4.74,4.77,4.83,4.62,441100
1998-01-29,4.79,4.96,4.99,4.78,403000
1998-01-30,4.96,4.92,5.06,4.89,310200
1998-02-02,4.95,5.20,5.21,4.94,576100
1998-02-03,5.18,5.15,5.25,5.09,369100
1998-02-04,5.06,5.06,5.19,5.05,102900
1998-02-05,5.11,4.94,5.11,4.87,486000
1998-02-06,4.92,4.91,5.02,4.87,176900
1998-02-09,4.91,4.85,4.96,4.77,218900
1998-02-10,4.87,5.23,5.32,4.86,12296413
1998-02-11,5.29,5.29,5.46,5.28,539500
1998-02-12,5.27,5.26,5.30,5.19,253000
1998-02-13,5.25,5.19,5.27,5.15,701700
1998-02-16,5.23,5.22,5.27,5.14,809400
1998-02-17,5.22,5.15,5.22,5.07,198000
1998-02-18,5.15,5.07,5.15,5.05,247600
1998-02-19,5.10,5.23,5.29,5.08,369700
1998-02-20,5.25,5.27,5.29,5.11,225300
1998-02-23,5.29,5.41,5.42,5.21,331500
1998-02-24,5.29,5.41,5.42,5.21,331500
1998-02-25,5.43,5.49,5.54,5.26,562100
1998-02-26,5.47,6.06,6.08,5.44,1281101
1998-02-27,6.06,6.42,6.64,5.98,2058902
1998-03-02,6.25,6.35,6.56,6.25,913200
1998-03-03,6.30,5.98,6.31,5.96,668000
1998-03-04,5.95,6.12,6.19,5.83,608800
1998-03-05,5.94,6.25,6.52,5.94,1000101
1998-03-06,6.25,6.40,6.42,6.15,490600
1998-03-09,6.41,6.96,7.15,6.40,1921302
1998-03-10,6.96,6.93,7.35,6.75,2062502
1998-03-11,6.83,6.64,6.87,6.52,1029101
1998-03-12,6.65,6.54,6.76,6.43,816600
1998-03-13,6.54,6.56,6.74,6.48,543600
1998-03-16,6.65,6.58,6.76,6.43,271200
1998-03-17,6.58,6.66,6.69,6.58,258400
1998-03-18,6.60,7.11,7.15,6.60,1138301
1998-03-19,7.12,7.00,7.29,6.98,1009601
1998-03-20,7.00,7.00,7.07,6.93,534400
1998-03-23,7.00,7.00,7.07,6.93,534400
1998-03-24,6.94,7.02,7.23,6.87,473400
1998-03-25,7.08,6.81,7.15,6.75,940801
1998-03-26,6.79,6.81,6.98,6.62,614600
1998-03-27,6.97,7.08,7.26,6.90,637200
1998-03-30,7.12,7.16,7.29,7.09,458400
1998-03-31,7.15,7.13,7.21,6.98,547100
1998-04-01,7.14,7.51,7.53,7.00,1204301
1998-04-02,7.53,7.92,8.06,7.48,1386901
1998-04-03,7.92,7.75,8.03,7.69,974501
1998-04-06,7.76,7.39,7.90,7.35,918700
1998-04-07,7.27,7.10,7.27,7.06,974601
1998-04-08,7.17,7.39,7.48,7.12,942901
1998-04-09,7.64,7.94,8.00,7.64,1336201
1998-04-13,7.98,7.86,8.02,7.67,915000
1998-04-14,7.83,8.10,8.32,7.77,1360301
1998-04-15,8.16,8.01,8.33,7.87,932701
1998-04-16,8.16,8.01,8.33,7.87,932701
1998-04-17,8.09,7.91,8.10,7.87,586300
1998-04-20,7.92,7.85,8.29,7.81,748300
1998-04-21,7.94,7.76,7.95,7.59,696200
1998-04-22,7.77,7.27,7.80,7.25,941801
1998-04-23,7.25,6.75,7.25,6.71,1024101
1998-04-24,6.79,7.07,7.31,6.79,1398801
1998-04-27,7.04,6.90,7.05,6.43,1573801
1998-04-28,7.67,7.97,8.29,7.42,5799506
1998-04-29,8.08,7.96,8.22,7.80,2390602
1998-04-30,8.08,7.65,8.17,7.54,1873802
1998-05-01,7.71,7.87,7.93,7.54,775600
1998-05-04,7.92,7.94,7.99,7.78,644600
1998-05-05,7.92,7.81,7.96,7.76,499900
1998-05-06,7.79,7.53,7.83,7.51,619900
1998-05-07,7.56,7.58,7.75,7.35,1157301
1998-05-08,7.60,7.70,7.73,7.46,399400
1998-05-11,7.71,7.70,7.75,7.21,943801
1998-05-12,7.71,7.70,7.75,7.21,943801
1998-05-13,7.68,7.63,7.89,7.58,716700
1998-05-14,7.68,7.63,7.89,7.58,716700
1998-05-15,7.65,7.47,7.71,7.46,385700
1998-05-18,7.50,7.34,7.55,7.23,551500
1998-05-19,7.46,7.53,7.55,7.44,285300
1998-05-20,7.53,7.39,7.62,7.39,337400
1998-05-21,7.40,7.40,7.50,7.28,283600
1998-05-22,7.40,7.17,7.40,7.12,488500
1998-05-26,7.16,6.82,7.24,6.74,907000
1998-05-27,6.69,7.22,7.28,6.65,1936200
1998-05-28,7.26,7.16,7.31,7.10,784400
1998-05-29,7.20,7.34,7.42,7.12,720100
1998-06-01,7.29,7.14,7.37,6.94,670300
