Date,Open,Close,High,Low,Volume
2012-05-18,42.00,38.23,45.00,38.00,580587712
2012-05-21,36.66,34.03,36.66,33.00,168309824
2012-05-22,32.59,31.00,33.59,30.94,102053824
2012-05-23,31.38,32.00,32.50,31.36,73721136
2012-05-24,32.98,33.03,33.21,31.77,50275880
2012-05-25,32.91,31.91,32.95,31.11,37189632
2012-05-29,31.48,28.84,31.69,28.65,78060800
2012-05-30,28.70,28.19,29.55,27.86,57267868
2012-05-31,28.54,29.60,29.67,26.83,111639200
2012-06-01,28.93,27.72,29.15,27.39,41855500
2012-06-04,27.20,26.90,27.65,26.44,35230288
2012-06-05,26.70,25.87,27.76,25.75,42473264
2012-06-06,26.07,26.81,27.17,25.52,61487020
2012-06-07,27.00,26.31,27.35,26.15,26167756
2012-06-08,26.58,27.10,27.76,26.44,38033420
2012-06-11,27.16,27.01,28.07,26.84,28225888
2012-06-12,27.48,27.40,27.77,26.96,15822414
2012-06-13,27.66,27.27,28.10,27.10,17118672
2012-06-14,27.69,28.29,28.32,27.38,16854124
2012-06-15,28.50,30.01,30.10,28.35,43563740
2012-06-18,29.96,31.41,32.08,29.41,42978208
2012-06-19,31.50,31.91,32.18,30.70,30848912
2012-06-20,31.92,31.60,31.93,31.15,15558921
2012-06-21,31.67,31.84,32.50,31.51,21875228
2012-06-22,32.41,33.05,33.45,32.06,74833976
2012-06-25,32.88,32.06,33.02,31.55,24352818
2012-06-26,32.68,33.10,33.44,32.50,24858612
2012-06-27,32.46,32.23,32.90,31.90,28599506
2012-06-28,31.96,31.36,32.19,30.90,17713292
2012-06-29,31.92,31.10,31.99,30.76,19526824
2012-07-02,31.25,30.77,31.73,30.55,14131476
2012-07-03,30.90,31.20,31.44,30.80,8765498
2012-07-05,31.32,31.47,31.63,31.02,10036688
2012-07-06,31.44,31.73,31.90,31.26,10949006
2012-07-09,32.10,32.17,32.88,31.99,17785180
2012-07-10,32.43,31.47,32.48,31.16,14276996
2012-07-11,31.48,30.97,31.56,30.55,13027752
2012-07-12,30.70,30.81,31.40,30.60,11306636
2012-07-13,31.02,30.72,31.07,30.56,8117346
2012-07-16,30.50,28.25,30.50,28.21,24672074
2012-07-17,28.48,28.09,28.59,27.15,30438552
2012-07-18,28.40,29.11,29.29,28.15,16841780
2012-07-19,29.40,29.00,29.50,28.63,13685031
2012-07-20,29.00,28.76,29.47,28.72,11869046
