Date,Open,Close,High,Low,Volume
2004-08-19,50.00,50.16,52.03,47.98,22353092
2004-08-20,50.74,54.15,54.54,50.25,11429498
2004-08-23,55.42,54.70,56.74,54.52,9140244
2004-08-24,55.65,52.43,55.80,51.78,7632224
2004-08-25,52.48,53.00,54.00,51.94,4599110
2004-08-26,52.55,53.95,53.97,52.33,3551168
2004-08-27,54.05,53.07,54.31,52.84,3108977
2004-08-30,52.74,51.00,52.74,51.00,2601620
2004-08-31,51.85,51.18,51.85,51.08,2463427
2004-09-01,51.37,50.12,51.48,49.83,4574578
2004-09-02,49.51,50.75,51.18,49.47,7567013
2004-09-03,50.13,50.00,50.87,49.66,2578705
2004-09-07,50.40,50.79,51.00,49.80,2927073
2004-09-08,50.73,51.15,51.51,50.25,2495226
2004-09-09,51.02,51.15,51.35,50.50,2032853
2004-09-10,50.80,52.66,53.28,50.65,4353885
2004-09-13,53.44,53.75,54.20,53.23,3927322
2004-09-14,53.84,55.74,56.00,53.39,5488357
2004-09-15,55.50,56.00,57.11,55.10,5362452
2004-09-16,56.05,56.98,57.90,55.82,4637786
2004-09-17,57.00,58.74,58.74,56.77,4748627
2004-09-20,58.46,59.68,60.80,58.38,5332562
2004-09-21,59.50,58.92,60.21,58.75,3617903
2004-09-22,58.40,59.19,59.83,58.40,3794393
2004-09-23,59.08,60.41,61.31,58.51,4273082
2004-09-24,61.34,59.91,62.05,59.88,4566707
2004-09-27,60.44,59.13,60.44,58.90,3536818
2004-09-28,60.52,63.43,63.70,60.10,8476027
2004-09-29,63.50,65.54,67.51,63.11,15274991
2004-09-30,65.11,64.80,66.15,64.50,6890125
2004-10-01,65.31,66.29,67.12,64.45,7571329
2004-10-04,67.91,67.53,68.43,67.01,6541875
2004-10-05,67.70,69.18,69.26,66.12,7507251
2004-10-06,69.22,68.54,69.22,68.00,6699883
2004-10-07,68.54,69.42,69.94,68.27,7066873
2004-10-08,69.75,68.86,69.84,68.51,5543874
2004-10-11,69.06,67.63,69.43,66.92,5249263
2004-10-12,67.30,68.70,68.80,66.70,5920143
2004-10-13,71.66,70.45,71.77,70.04,9894833
2004-10-14,70.45,71.00,71.19,69.28,5234304
2004-10-15,72.00,72.05,72.75,70.97,6604448
2004-10-18,71.59,74.58,74.59,70.60,7032780
2004-10-19,75.50,73.97,76.20,73.67,9069401
2004-10-20,74.36,70.24,74.49,69.80,11389627
2004-10-21,71.98,74.69,75.06,70.81,14998000
2004-10-22,85.16,86.21,90.08,82.04,36919840
2004-10-25,86.99,93.70,97.21,86.27,32775276
2004-10-26,94.92,90.90,96.32,90.00,22313860
2004-10-27,91.14,92.98,94.76,90.88,13373482
2004-10-28,92.80,96.65,97.19,92.80,14856604
2004-10-29,99.18,95.32,99.97,95.30,21183466
2004-11-01,96.00,98.01,98.83,95.63,12233618
2004-11-02,99.33,97.43,99.62,96.67,11365995
2004-11-03,99.75,95.83,100.80,95.37,13897606
2004-11-04,94.12,92.35,95.20,91.67,14474388
2004-11-05,90.50,84.67,91.15,84.27,19852002
2004-11-08,85.46,86.27,87.72,84.70,11200077
2004-11-09,86.12,84.35,87.60,82.63,11160536
2004-11-10,84.00,83.93,86.26,83.16,10651413
2004-11-11,84.56,91.51,91.87,83.78,15023209
2004-11-12,92.66,91.00,94.90,88.70,16746068
2004-11-15,90.12,92.43,94.16,89.37,11901512
2004-11-16,88.75,86.27,89.73,85.41,20928808
2004-11-17,84.53,86.25,88.75,84.50,18137868
2004-11-18,85.00,83.77,87.21,82.86,16633270
2004-11-19,84.55,84.70,84.99,83.26,8816609
2004-11-22,84.32,82.55,84.75,80.65,12372104
2004-11-23,83.62,83.76,85.41,83.25,12426573
2004-11-24,88.60,87.38,88.60,86.25,15290473
2004-11-26,87.90,89.69,90.01,87.66,6480025
2004-11-29,90.18,90.52,91.47,88.75,10669849
2004-11-30,90.35,90.99,91.50,90.12,7745574
2004-12-01,91.05,89.98,91.25,89.77,7868147
2004-12-02,90.15,89.70,90.75,89.27,6270626
2004-12-03,90.33,90.20,90.53,88.80,5873733
2004-12-06,89.99,88.14,90.35,88.01,6257535
2004-12-07,87.00,85.71,88.10,85.27,6872138
2004-12-08,85.70,84.99,86.84,84.36,7542204
2004-12-09,85.12,86.71,86.75,84.23,7654902
2004-12-10,86.87,85.82,87.44,85.64,4320465
2004-12-13,86.08,85.22,86.59,84.72,4818789
2004-12-14,85.50,89.34,89.41,84.80,11102401
2004-12-15,88.99,89.89,90.34,88.33,11545863
2004-12-16,88.41,88.23,90.24,87.97,8577261
2004-12-17,88.27,90.04,90.25,88.27,7417654
2004-12-20,90.96,92.51,94.23,90.93,9840211
2004-12-21,93.08,91.87,93.94,91.70,5524667
2004-12-22,91.95,93.15,93.42,91.50,3910203
2004-12-23,93.72,93.95,94.30,93.00,3615676
2004-12-27,94.57,95.95,96.65,94.55,6105595
2004-12-28,96.05,96.38,96.77,95.50,4148098
2004-12-29,95.89,96.45,96.76,95.89,2679281
2004-12-30,96.48,98.80,99.11,95.92,5904978
2004-12-31,99.62,96.39,99.94,96.28,7677229
2005-01-03,98.70,101.35,101.82,97.73,15860692
2005-01-04,100.66,97.25,101.46,96.74,13762396
2005-01-05,96.72,96.75,98.45,96.11,8239545
2005-01-06,97.62,94.27,97.95,93.86,10389803
2005-01-07,94.80,96.92,97.12,94.39,9666175
2005-01-10,97.25,97.53,99.05,95.91,7554795
2005-01-11,97.69,96.77,98.85,96.59,6962544
2005-01-12,97.16,97.69,97.96,95.25,8361295
2005-01-13,97.69,97.66,98.69,97.02,6852573
2005-01-14,98.22,99.98,100.00,97.06,9643747
2005-01-18,100.44,101.95,102.51,99.33,13237127
2005-01-19,102.32,98.65,102.65,98.35,11351583
2005-01-20,96.25,96.96,98.12,96.00,9003777
2005-01-21,97.34,94.14,97.68,94.06,9294685
2005-01-24,94.34,90.36,94.66,90.16,14034232
2005-01-25,91.10,88.56,91.12,88.14,10696013
2005-01-26,89.63,94.62,94.70,89.57,12345935
2005-01-27,94.29,94.04,94.43,92.60,6631221
2005-01-28,94.50,95.17,97.35,93.17,12212727
2005-01-31,96.93,97.81,98.18,95.86,9600561
2005-02-01,97.19,95.95,101.87,95.31,19153968
2005-02-02,107.82,102.98,108.40,101.83,32874260
2005-02-03,102.93,105.43,106.68,102.90,13005885
2005-02-04,103.87,102.18,103.87,101.30,14823134
2005-02-07,102.63,98.01,103.20,97.75,12981698
2005-02-08,98.48,99.32,100.01,97.26,11493216
2005-02-09,100.38,95.79,100.80,94.73,17310424
2005-02-10,95.98,93.99,96.10,92.62,18986724
2005-02-11,95.99,93.70,96.16,93.03,13126137
2005-02-14,91.44,96.49,96.54,90.50,38576168
2005-02-15,96.80,97.61,99.92,96.54,25857576
2005-02-16,97.35,99.20,99.66,97.15,16653921
2005-02-17,99.17,98.95,99.87,98.40,10426333
2005-02-18,99.25,98.97,99.42,98.33,8507046
2005-02-22,98.33,95.68,99.45,95.19,13506512
2005-02-23,96.65,96.97,97.24,94.33,15650711
2005-02-24,91.40,94.44,94.92,91.11,25837038
2005-02-25,94.55,92.93,94.96,92.75,9983901
2005-02-28,93.00,93.99,94.93,92.92,7824418
2005-03-01,94.64,93.03,94.87,92.69,9431762
2005-03-02,92.97,92.60,93.83,92.18,7325936
2005-03-03,93.06,93.50,93.87,92.15,7612159
2005-03-04,93.53,92.95,93.62,92.53,6778129
2005-03-07,93.76,94.40,94.80,93.51,8710529
2005-03-08,94.55,92.60,94.92,92.48,8046020
2005-03-09,92.10,90.67,92.32,90.08,11375297
2005-03-10,90.50,89.99,90.60,88.70,10964011
2005-03-11,90.35,88.90,90.47,88.57,8030469
2005-03-14,89.16,87.49,89.20,86.28,11146592
2005-03-15,87.65,89.30,90.00,87.10,10444435
2005-03-16,88.35,87.80,89.30,87.50,7151929
2005-03-17,88.56,89.64,89.82,87.90,8261695
2005-03-18,89.37,90.02,90.20,89.15,7153356
2005-03-21,89.67,90.44,91.08,88.62,7483615
2005-03-22,90.59,89.30,90.97,88.92,5649453
2005-03-23,88.98,89.49,90.12,88.98,4857419
2005-03-24,90.35,89.62,90.43,89.60,3727539
2005-03-28,90.84,90.71,92.40,90.47,8748100
2005-03-29,90.52,89.78,91.64,89.03,6478302
2005-03-30,90.32,90.22,90.72,89.80,6260231
2005-03-31,88.97,90.25,90.69,88.82,6770462
